word	num	|	G0								|	G3								|	G6							
(d)L		|	1	2	3	3	3	3	1	1	|									|								
(d)R		|	3	1	4	3	2	2	1	1	|									|								
(d)S		|	2	2	3	4	2	1	1	2	|									|								
(s)A	(s)0	|	1	4	2	1	3	2	2	2	|	5	3	3	1	2	1	1	1	|	1	2	5	2	2	3	1	1
(s)B	(s)1	|	1	5	1	2	2	3	2	1	|	4	5	1	3	1	1	1	1	|								
(s)C	(s)2	|	1	4	2	1	3	3	2	1	|	4	4	2	2	2	1	1	1	|								
(s)D	(s)3	|									|	4	3	3	1	3	1	1	1	|								
(s)E	(s)4	|									|	3	5	1	3	2	1	1	1	|	1	2	5	2	3	1	2	1
(s)F	(s)5	|									|	3	4	2	2	3	1	1	1	|								
(s)H	(s)7	|	3	3	3	1	1	3	1	2	|	2	5	1	3	3	1	1	1	|								
(s)J	(s)9	|	2	4	2	2	1	1	1	4	|	2	3	3	1	5	1	1	1	|								
(s)K		|	2	3	3	1	2	1	1	4	|									|								
(s)M		|	3	4	2	2	1	2	2	1	|									|								
A(d)	0(d)	|									|	3	1	1	1	2	6	1	2	|								
AC	02	|	5	1	1	1	1	1	5	2	|									|	1	1	1	1	1	2	4	6
AD	03	|	3	1	1	1	1	2	3	5	|									|	2	1	1	1	1	2	5	4
AE	04	|	4	1	1	1	1	2	4	3	|	6	1	1	1	1	2	3	2	|	3	1	1	1	1	2	6	2
AF	05	|									|									|	1	1	1	1	1	3	4	5
AG	06	|	2	1	1	1	1	3	2	6	|	5	1	1	1	1	3	2	3	|								
AH	07	|									|									|	3	1	1	1	1	3	6	1
AI	08	|									|									|	1	1	1	1	1	4	4	4
BA	10	|	2	1	1	1	4	1	5	2	|									|								
BF	15	|									|	4	1	1	1	3	3	3	1	|								
BG	16	|									|	2	1	1	1	3	4	1	4	|								
BH	17	|	5	1	1	2	1	1	5	1	|	3	1	1	1	3	4	2	2	|								
BI	18	|									|									|	4	1	1	1	5	1	2	2
BP		|									|									|	2	1	1	1	6	2	1	3
BU		|									|	1	1	1	1	4	4	1	4	|								
BX		|									|	6	3	2	1	1	1	2	1	|								
C(d)	2(d)	|									|									|	1	1	1	3	1	1	4	5
C(s)	2(s)	|									|	3	1	1	2	2	5	1	2	|								
CD	23	|	1	1	1	2	3	2	3	4	|									|								
CE	24	|									|	1	1	1	1	6	2	3	2	|	2	1	1	2	2	2	6	1
CG	26	|									|	4	1	1	2	1	1	1	6	|								
CH	27	|	1	1	1	2	4	1	4	3	|									|								
CL		|									|	6	1	1	2	1	2	3	1	|								
D(d)	3(d)	|									|									|	6	1	1	4	2	1	1	1
DC	32	|									|									|	2	1	1	3	1	3	5	1
DF	35	|	2	1	1	3	3	1	4	2	|									|								
DG	36	|	1	1	1	3	3	2	3	3	|									|								
E(s)	4(s)	|									|	1	1	1	3	4	1	1	5	|								
EH	47	|	1	1	1	5	1	2	1	5	|									|								
EI	48	|									|	4	1	1	3	1	4	1	2	|								
EK		|									|	3	1	1	3	2	1	1	5	|	2	2	1	1	1	1	5	4
ER		|	1	1	1	5	2	3	2	2	|	3	1	1	3	2	4	1	2	|								
EU		|									|									|	6	2	1	1	2	1	1	3
F(d)	5(d)	|									|	2	1	1	4	3	2	1	3	|	1	1	2	1	1	4	3	4
FJ	59	|	2	2	1	1	2	2	3	4	|									|								
G(d)	6(d)	|									|	3	1	1	6	2	1	1	2	|	5	2	1	2	3	1	1	2
G(s)	6(s)	|									|	2	1	1	6	3	1	1	2	|								
GC	62	|	2	1	2	1	1	3	1	6	|									|	2	2	1	2	1	1	5	3
GG	66	|									|									|	2	2	1	2	1	2	5	2
H(d)	7(d)	|									|									|	1	1	2	2	2	1	4	4
HA	70	|									|									|	1	1	2	1	4	1	6	1
IB	81	|									|									|	1	1	2	2	2	3	4	2
IE	84	|									|									|	6	2	1	3	2	1	1	1
IS		|									|	2	2	1	1	5	1	3	2	|								
IV		|									|	1	2	1	1	5	3	2	2	|								
J(d)	9(d)	|									|	3	1	2	1	3	2	1	4	|								
J(s)	9(s)	|									|	4	2	1	2	2	3	2	1	|								
KA		|									|	3	2	1	2	2	4	1	2	|	1	3	1	1	1	4	4	2
KB		|									|	3	1	2	1	3	4	1	2	|								
LE		|									|	1	2	1	2	5	2	2	2	|								
LJ		|									|	5	1	2	2	1	1	1	4	|								
LR		|	1	1	2	4	3	3	2	1	|									|								
NK		|	4	3	1	2	1	1	4	1	|									|								
NO		|									|	4	1	2	3	2	3	1	1	|								
PS		|									|									|	3	4	1	1	5	1	1	1
PT		|	1	2	2	2	2	2	1	5	|									|								
PV		|									|									|	2	3	2	1	1	1	4	3
